Id;Area
1;1.387
2;1.626
3;1.336
4;0.640
5;2.211
6;1.120
7;0.974
8;1.237
9;1.290
10;3.755
11;2.778
12;1.256
13;1.386
14;1.302
15;1.071
16;1.497
17;1.518
18;1.244
19;1.532
20;1.325
21;1.519
22;1.895
23;1.220
24;1.241
25;1.301
26;1.429
27;0.667
28;2.157
29;1.052
30;2.082
31;1.517
32;1.281
33;0.784
34;1.067
1;2.764
2;1.215
3;0.943
4;2.182
5;1.486
6;1.569
7;2.667
8;0.709
9;1.006
10;1.600
11;1.408
12;3.160
13;2.465
14;2.284
15;1.273
16;1.256
17;3.021
18;1.701
19;1.955
20;5.248
21;1.627
22;1.367
23;1.592
24;2.718
25;1.658
26;1.128
27;2.192
28;1.508
29;2.547
30;1.945
31;1.606
32;3.482
33;1.756
34;1.457
35;1.864
36;1.821
37;1.314
1;1.715
2;1.015
3;1.345
4;1.265
5;1.844
6;1.396
7;1.785
8;1.694
9;1.413
10;1.368
11;2.210
12;1.034
13;1.367
14;1.943
15;1.008
16;1.279
17;1.579
18;1.444
19;1.879
20;1.466
21;2.154
22;1.794
23;3.149
24;1.883
25;1.692
26;1.163
27;1.297
28;2.949
29;1.090
30;1.444
31;1.524
